cell id,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness
20200414_sample_27,0.9421650669581356,75.05955919623375,0.9332635111343375,0.9890816721517588,0.13754330764659434,-36.47406026721001,0.5600000000000049,0.0,-12.083210051059723,0.0,0.0010027019485586285,1.3095890410958901,1.063155809108274,0.2551066006240325,173.0902640633285,378.36,23.28000000000001,39,13.802212043466131,4.756744199413404,1,-48.48472024425864,18.0327868852459,42.3802676373718,1.2962182732850096,0.5182800000000001,0.7727272727272727,1.1683224914423793,0.0
20200410_sample_15,0.3645879538739393,64.37426432967186,0.8197148365310984,0.9582487187517952,0.08094204041105954,-33.34880247712135,0.7999999999999952,0.0,-11.7870531976223,0.0,0.0047513690114783,3.5688888888888854,2.4594133111941314,0.4102239176604216,107.43546962241336,43.75999999999999,32.600000000000016,8,13.299720688773553,1.5960622921502505,0,-73.41141606271268,260.0,0.0,1.1196204627775916,0.0,0.0,2.000529476763923,0.0
20200406_sample_29,1.4035721931720273,77.83913612365723,0.9053178153452903,0.9873928139269287,0.17619692142496526,-42.00664162635803,0.6000000000000172,0.0,-12.692779302597046,0.0,0.002431800232288035,1.1481481481481455,1.1159340235283213,0.3757918648461604,176.88780125124111,81.47999999999999,37.959999999999994,35,15.627571750871393,5.093728413902852,0,-62.57195453792811,53.9622641509434,41.50184239238519,1.264554650508403,0.41028,0.5909090909090909,1.421255303874727,0.0
20200410_sample_5,0.6136090270180441,78.4946009516716,0.9058811152184509,0.9969433061592166,0.10438838370243703,-32.29953721165657,0.8799999999999919,0.0,-6.511028856039047,0.5483146067415734,0.0009348301508377555,7.033542976939209,2.4184098503912006,0.20311927893494086,96.50243628149231,152.96,70.96,27,16.968347945064075,0.21723772710117828,0,-61.310821192711586,115.0,0.0,1.0880960694954405,0.0,0.8,2.631934385993569,0.0
20200407_sample_22,0.6944116654185913,73.56185466051102,0.9329691575897601,0.9821380060664521,0.11262935318811507,-39.22593221068382,0.5199999999999927,5.919110029935837,-11.385001242160797,0.0,0.0295313500463385,1.2258064516129032,1.3937096125864787,0.9651205811161347,196.71688537547993,63.76000000000001,36.84000000000001,19,16.629220455382693,0.3964205905616254,0,-63.01427341550588,65.33333333333334,0.0,1.0422082534194674,0.0,0.46153846153846156,1.3437531644657736,0.0
20200409_sample_2,1.246336460691755,60.49402989447117,0.948973027385493,0.9913492863038145,0.17588497240852416,-31.2768816947937,0.5200000000000204,0.0,-16.930922865867615,0.0,0.00023656535771920332,0.9274611398963725,1.0146104405843897,0.15953312657364588,238.49236596872413,92.52000000000002,38.67999999999999,65,12.990416063335498,3.5945486923636523,0,-54.513445767760274,29.50000000000001,47.81392896220069,1.1724531349875695,0.49560000000000004,0.8055555555555556,1.042810384019609,0.0
20200407_sample_12,1.4648056872124546,48.0758436024189,0.9712663238909657,0.9978177028374279,0.19048864134206173,-27.910204604268074,0.4800000000000082,0.0,-24.478303268551826,0.0,4.0873949579832876e-05,1.0541125541125527,1.0157220610729556,0.09041454482530217,145.57235852132243,78.44000000000001,41.67999999999999,120,4.576928550893451,0.5667596056830888,0,-70.2722228437662,140.0,0.0,1.0646126543083014,0.0,0.9193548387096774,0.8624401921294971,0.0
20200414_sample_23,0.5902082075371238,78.97099480032921,0.9371972595710923,0.9662588854531461,0.09540264146307684,-32.63529762625694,0.8799999999999919,0.0,-7.9259611666202545,0.3156146179401994,0.08378834159779618,1.6801619433198374,2.126947929506286,1.0742948330879174,46.15824791410617,37.40000000000002,32.36,9,9.266013534490309,0.9717286401524419,0,-62.137347743660214,320.0,0.0,1.136463321995244,0.0,0.2857142857142857,2.5818034568417376,0.0
20200408_sample_25,1.492487832889416,48.88429120182991,0.9384961555287854,0.9990915059003038,0.19239181096853822,-22.24859409034252,0.40000000000001146,0.0,-19.871389493346214,0.0,0.00014396623738903322,1.0706521739130463,1.0122302476735254,0.18677382626984704,110.86909227445719,14.32,11.160000000000004,145,4.562731496016514,1.4712262567574896,0,-59.138426294177776,240.0,0.0,1.0791873830741627,0.0,0.8947368421052632,0.8406264499354366,0.0
20200406_sample_7,2.5939174893325436,57.547351345419884,0.9952953974381822,0.9952746685168801,0.2657401889730184,-37.7490408718586,0.4800000000000082,0.0,-14.86806571483612,0.0,8.807592303692058e-05,0.9655172413793099,1.0839919485453113,0.11721942505192554,110.44799411722595,111.32000000000001,79.00000000000001,85,10.810705533456288,1.0573496423051552,0,-71.60482745617628,220.0,0.0,1.0808605676272993,0.0,0.75,0.9706336087714699,0.0
20200407_sample_14,1.1642282526405319,57.15716443955898,0.9664287300910723,0.9974010345544253,0.16258790120322922,-30.326208099722862,0.43999999999999595,0.0,-23.436972871422768,0.0,1.3867397212418525e-05,0.9961538461538463,1.0086625290874836,0.0490715458630557,154.48544428497553,48.68,22.080000000000002,105,7.378436378365702,1.3694813031431963,0,-59.79401192218066,95.16129032258064,0.0,1.084838973365397,0.0,1.0,0.9401695358402373,0.0
20200414_sample_13,2.1333779910769404,75.12552291154861,0.9877493942944621,0.9961455565828349,0.20923030662975003,-20.544663071632385,0.8400000000000074,0.0,-9.349297732114792,0.3300330033003298,0.000830403918949009,1.6101321585903077,1.1622558050509324,0.1935020994140909,58.91125802394181,137.12000000000003,73.00000000000001,28,11.00220775797202,0.5856195936324795,0,-54.123931125551465,251.11111111111111,0.0,1.095160366651503,0.0,0.9285714285714286,2.385849062737757,0.0
20200408_sample_13,1.8004626881478836,72.47505709528923,0.9109515086832939,0.9855034722909609,0.19967365897417422,-36.02924197912216,0.6000000000000172,0.0,-11.134445667266846,0.0,0.005053046320868516,1.4339622641509413,1.3496674879459327,0.4879545722158495,390.1374065876007,60.04000000000001,33.72,26,23.86363595911701,2.224585415674511,0,-64.37114281356335,25.000000000000004,0.0,1.0365576993931704,0.0,0.4444444444444444,1.3434701901421162,0.0
